Date,Open,High,Low,Close,Adj Close,Volume
2020-11-03,21.230000,21.620001,21.230000,21.620001,21.620001,6400
2020-11-04,21.540001,21.770000,21.530001,21.540001,21.540001,9600
2020-11-05,21.680000,21.780001,21.510000,21.559999,21.559999,29700
2020-11-06,21.700001,21.700001,21.270000,21.379999,21.379999,4100
2020-11-09,22.500000,24.000000,22.360001,22.360001,22.360001,10700
2020-11-10,22.230000,22.920000,22.230000,22.900000,22.900000,10700
2020-11-11,22.730000,22.879999,22.730000,22.870001,22.870001,30500
2020-11-12,22.840000,22.840000,22.440001,22.510000,22.510000,2900
2020-11-13,22.639999,23.200001,22.639999,23.200001,23.200001,4300
2020-11-16,23.520000,23.809999,23.209999,23.559999,23.559999,34800
2020-11-17,23.290001,23.660000,23.250000,23.510000,23.510000,7100
2020-11-18,23.490000,23.709999,22.959999,23.010000,23.010000,5100
2020-11-19,22.840000,23.090000,22.840000,23.049999,23.049999,5600
2020-11-20,22.959999,23.129999,22.930000,23.129999,23.129999,11200
2020-11-23,23.270000,23.350000,23.090000,23.090000,23.090000,9700
2020-11-24,23.370001,23.530001,23.270000,23.270000,23.270000,9000
2020-11-25,23.150000,23.250000,23.070000,23.190001,23.190001,12900
2020-11-27,23.000000,23.150000,22.950001,23.070000,23.070000,17400
2020-11-30,23.120001,23.120001,22.709999,22.709999,22.709999,16000
2020-12-01,23.100000,23.129999,22.969999,23.049999,23.049999,4400
2020-12-02,23.100000,23.129999,22.860001,22.889999,22.889999,13500
2020-12-03,22.879999,23.219999,22.879999,23.100000,23.100000,14300
2020-12-04,23.260000,23.570000,23.260000,23.559999,23.559999,4700
2020-12-07,23.430000,23.520000,23.309999,23.309999,23.309999,4700
2020-12-08,23.379999,23.389999,23.190001,23.280001,23.280001,9500
2020-12-09,23.280001,23.360001,22.980000,23.139999,23.139999,7200
2020-12-10,23.129999,23.129999,22.950001,23.040001,23.040001,7200
2020-12-11,22.950001,22.990000,22.740000,22.990000,22.990000,2800
2020-12-14,23.260000,23.260000,22.820000,22.900000,22.900000,10000
2020-12-15,22.889999,23.410000,22.790001,23.410000,23.410000,33200
2020-12-16,23.400000,23.430000,23.350000,23.410000,23.410000,8200
2020-12-17,23.389999,23.610001,23.389999,23.580000,23.580000,28600
